gene,is_known_driver,n_mutated,screening_p,screening_q,propensity_quality,propensity_truncated_pct,ate,ate_se,ci_lower,ci_upper,bootstrap_success_pct,permutation_p,permutation_success,q_value_final,significant_final
RYR2,False,55,0.0698230809225507,1.0,good,0.7238883143743536,-0.1046147194045461,0.022840218639610294,-0.14450207089009634,-0.055089617261805265,100.0,0.0033333333333333335,300,0.05,True
KMT2C,True,85,0.04683210137888916,1.0,moderate,11.892450879007239,0.06857764410840093,0.046582271837705004,-0.01675961730145549,0.16432990175598158,100.0,0.04666666666666667,300,0.35000000000000003,False
TP53,True,331,0.14152182926419776,1.0,good,0.0,0.0350936255938358,0.022521110113246326,-0.0029334861931578113,0.08213902747169857,100.0,0.11333333333333333,300,0.425,False
CDH1,True,128,0.4078865317562078,1.0,good,0.0,-0.046880064233697054,0.02586865427026258,-0.09300318947234232,0.004766683391879982,100.0,0.11,300,0.425,False
TTN,False,167,0.217691487110111,1.0,good,0.0,0.029207553256475016,0.03399388044442153,-0.032309198164661324,0.09798767986282927,100.0,0.30333333333333334,300,0.56875,False
MAP3K1,True,82,0.8666373385201878,1.0,good,6.928645294725957,-0.04084253880989383,0.03324392281147286,-0.09556460924455433,0.030952027381269447,100.0,0.23666666666666666,300,0.56875,False
HMCN1,False,58,0.5565231805506272,1.0,poor,20.682523267838675,-0.04822934371415099,0.03782221586893931,-0.1221405819504497,0.028867971660713535,100.0,0.23,300,0.56875,False
SYNE1,False,53,0.836861015754401,1.0,poor,39.917269906928645,-0.0513320182035123,0.034897201125773665,-0.11856415815988554,0.024265882765157894,100.0,0.26666666666666666,300,0.56875,False
PTEN,True,52,0.4112402846644131,1.0,poor,44.36401240951396,0.02824299423628319,0.05267943404455502,-0.057846338744692374,0.13646709159082177,100.0,0.5333333333333333,300,0.7590909090909091,False
USH2A,False,51,0.6758062899992405,1.0,poor,48.707342295760085,0.028644773602866967,0.04892447744322836,-0.05972833784276611,0.1359867878116385,100.0,0.5566666666666666,300,0.7590909090909091,False
NCOR1,True,49,0.668967576785725,1.0,poor,46.74250258531541,-0.02693897803598848,0.045975676795398025,-0.10450981677290652,0.06796822867203382,100.0,0.5566666666666666,300,0.7590909090909091,False
GATA3,True,125,0.5802557010235685,1.0,good,0.0,0.01577769643466709,0.032548726709207394,-0.04127724934522795,0.08451890692210023,100.0,0.61,300,0.7625,False
MUC16,False,99,0.4433469234667991,1.0,good,0.0,0.011359118226770996,0.03844225762174234,-0.06358065330808634,0.08765524652369915,100.0,0.7433333333333333,300,0.8576923076923076,False
PIK3CA,True,328,0.9214755212155165,1.0,good,0.0,-0.004406625605498363,0.02219881830692018,-0.04315911264651556,0.0362942460735891,100.0,0.8533333333333334,300,0.9142857142857144,False
FLG,False,56,0.8427905171006309,1.0,poor,27.19751809720786,-0.0016883568387570987,0.04869915109798241,-0.08249716565674478,0.10573007260660668,100.0,0.9733333333333334,300,0.9733333333333334,False
