gene,n_mutated,n_controls,mort_mutated,mort_control,odds_ratio,p_value,is_known_driver,q_value_BH,passed_screening
A1CF,6,961,0.16666666666666666,0.13735691987513007,1.256060606060606,0.5894569370555072,False,1.0,False
PPFIA2,12,955,0.08333333333333333,0.1382198952879581,0.5668044077134986,1.0,False,1.0,False
PPFIA1,8,959,0.125,0.13764337851929093,0.895021645021645,1.0,False,1.0,False
PPEF2,7,960,0.14285714285714285,0.1375,1.0454545454545454,1.0,False,1.0,False
PPEF1,12,955,0.25,0.13612565445026178,2.1153846153846154,0.2213189810954577,False,1.0,False
PPARGC1B,7,960,0.5714285714285714,0.134375,8.589147286821705,0.008583644826393578,False,1.0,False
PPARGC1A,9,958,0.2222222222222222,0.13674321503131523,1.8037077426390404,0.35719799997040946,False,1.0,False
PPFIA3,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PPARG,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
POU5F2,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
POU4F2,5,962,0.4,0.13617463617463618,4.229007633587786,0.14189119174482176,False,1.0,False
POU3F4,8,959,0.0,0.1386861313868613,0.0,0.6079548711090935,False,1.0,False
POU2F2,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
POTEF,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
POTEA,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PPAN-P2RY11,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
POSTN,7,960,0.14285714285714285,0.1375,1.0454545454545454,1.0,False,1.0,False
PPFIA4,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PPIG,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PPP1R3A,11,956,0.2727272727272727,0.13598326359832635,2.3826923076923077,0.1834411064790646,False,1.0,False
PPP1R32,5,962,0.4,0.13617463617463618,4.229007633587786,0.14189119174482176,False,1.0,False
PPP1R21,6,961,0.16666666666666666,0.13735691987513007,1.256060606060606,0.5894569370555072,False,1.0,False
PPP1R15B,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PPP1R15A,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PPP1R13B,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PPFIBP1,7,960,0.14285714285714285,0.1375,1.0454545454545454,1.0,False,1.0,False
PPP1R12B,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PPP1R10,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PPM1F,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PPM1E,7,960,0.42857142857142855,0.13541666666666666,4.788461538461538,0.058560349864904916,False,1.0,False
PPM1B,5,962,0.4,0.13617463617463618,4.229007633587786,0.14189119174482176,False,1.0,False
PPL,9,958,0.0,0.13883089770354906,0.0,0.6196569480793772,False,1.0,False
PPIP5K2,10,957,0.2,0.13688610240334378,1.5763358778625953,0.6356258862370281,False,1.0,False
PPP1R12A,7,960,0.14285714285714285,0.1375,1.0454545454545454,1.0,False,1.0,False
PPP1R3F,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
POP1,7,960,0.0,0.13854166666666667,0.0,0.6022730576469064,False,1.0,False
POMT2,6,961,0.3333333333333333,0.13631633714880334,3.16793893129771,0.1942659066216041,False,1.0,False
PMS1,10,957,0.2,0.13688610240334378,1.5763358778625953,0.6356258862370281,False,1.0,False
PMFBP1,11,956,0.18181818181818182,0.13702928870292888,1.3994910941475827,0.6544728231558026,False,1.0,False
PMEL,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PM20D1,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PLXND1,7,960,0.14285714285714285,0.1375,1.0454545454545454,1.0,False,1.0,False
PLXNC1,7,960,0.0,0.13854166666666667,0.0,0.6022730576469064,False,1.0,False
PMS2,7,960,0.2857142857142857,0.13645833333333332,2.531297709923664,0.2485481293242838,False,1.0,False
PLXNB2,8,959,0.375,0.13555787278415016,3.8261538461538462,0.08448576560363265,False,1.0,False
PLXNA4,15,952,0.13333333333333333,0.13760504201680673,0.9641808573106283,1.0,False,1.0,False
PLXNA3,13,954,0.07692307692307693,0.13836477987421383,0.5189393939393939,1.0,False,1.0,False
PLXNA2,18,949,0.2777777777777778,0.13487881981032665,2.4669471153846154,0.0883046630176963,False,1.0,False
PLXNA1,9,958,0.1111111111111111,0.13778705636743216,0.7821969696969697,1.0,False,1.0,False
PLVAP,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PLS3,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PLXNB1,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PON1,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PNLIPRP1,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PNN,6,961,0.3333333333333333,0.13631633714880334,3.16793893129771,0.1942659066216041,False,1.0,False
POM121,7,960,0.0,0.13854166666666667,0.0,0.6022730576469064,False,1.0,False
POLRMT,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
POLR3A,7,960,0.0,0.13854166666666667,0.0,0.6022730576469064,False,1.0,False
POLR2B,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
POLR2A,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
POLR1A,11,956,0.09090909090909091,0.13807531380753138,0.6242424242424243,1.0,False,1.0,False
PNMA8A,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
POLQ,13,954,0.15384615384615385,0.13731656184486374,1.142262317834837,0.696681665992265,False,1.0,False
POLG,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
POLE,10,957,0.0,0.13897596656217345,0.0,0.3735941385672879,False,1.0,False
POLA1,11,956,0.0,0.13912133891213388,0.0,0.3780510816804445,False,1.0,False
POGZ,13,954,0.0,0.13941299790356393,0.0,0.23463547986190103,False,1.0,False
POF1B,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PNPT1,7,960,0.42857142857142855,0.13541666666666666,4.788461538461538,0.058560349864904916,False,1.0,False
POLN,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PPP1R9A,11,956,0.2727272727272727,0.13598326359832635,2.3826923076923077,0.1834411064790646,False,1.0,False
PPP2CA,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PPP2R3A,8,959,0.125,0.13764337851929093,0.895021645021645,1.0,False,1.0,False
PROX2,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PROX1,11,956,0.09090909090909091,0.13807531380753138,0.6242424242424243,1.0,False,1.0,False
PROSER1,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PROS1,8,959,0.125,0.13764337851929093,0.895021645021645,1.0,False,1.0,False
PROM2,5,962,0.4,0.13617463617463618,4.229007633587786,0.14189119174482176,False,1.0,False
PROM1,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PRPF19,5,962,0.4,0.13617463617463618,4.229007633587786,0.14189119174482176,False,1.0,False
PRMT9,6,961,0.16666666666666666,0.13735691987513007,1.256060606060606,0.5894569370555072,False,1.0,False
PRMT3,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PRKX,5,962,0.4,0.13617463617463618,4.229007633587786,0.14189119174482176,False,1.0,False
PRKG2,10,957,0.1,0.13793103448275862,0.6944444444444444,1.0,False,1.0,False
PRKG1,6,961,0.16666666666666666,0.13735691987513007,1.256060606060606,0.5894569370555072,False,1.0,False
PRKDC,27,940,0.18518518518518517,0.13617021276595745,1.4417613636363635,0.4039698151634916,False,1.0,False
PRKD3,7,960,0.14285714285714285,0.1375,1.0454545454545454,1.0,False,1.0,False
PRMT5,6,961,0.3333333333333333,0.13631633714880334,3.16793893129771,0.1942659066216041,False,1.0,False
PRKD2,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PRPF3,6,961,0.5,0.13527575442247658,6.392307692307693,0.03714176199125719,False,1.0,False
PRPF39,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PRUNE1,5,962,0.4,0.13617463617463618,4.229007633587786,0.14189119174482176,False,1.0,False
PRTG,11,956,0.0,0.13912133891213388,0.0,0.3780510816804445,False,1.0,False
PRSS12,6,961,0.16666666666666666,0.13735691987513007,1.256060606060606,0.5894569370555072,False,1.0,False
PRRX1,7,960,0.0,0.13854166666666667,0.0,0.6022730576469064,False,1.0,False
PRRC2C,14,953,0.14285714285714285,0.13746065057712487,1.0458015267175573,1.0,False,1.0,False
PRRC2B,12,955,0.16666666666666666,0.13717277486910995,1.2580152671755724,0.6751071962119222,False,1.0,False
PRPF38B,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PRRC2A,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PRR14,7,960,0.5714285714285714,0.134375,8.589147286821705,0.008583644826393578,False,1.0,False
PRR12,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PRPF8,10,957,0.0,0.13897596656217345,0.0,0.3735941385672879,False,1.0,False
PRPF6,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PRPF4B,10,957,0.2,0.13688610240334378,1.5763358778625953,0.6356258862370281,False,1.0,False
PRPF40A,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PRR27,5,962,0.2,0.13721413721413722,1.571969696969697,0.5235917653165231,False,1.0,False
PRKD1,8,959,0.125,0.13764337851929093,0.895021645021645,1.0,False,1.0,False
PRKCQ,7,960,0.2857142857142857,0.13645833333333332,2.531297709923664,0.2485481293242838,False,1.0,False
PRKCE,6,961,0.0,0.1383975026014568,0.0,1.0,False,1.0,False
PRAMEF15,5,962,0.0,0.13825363825363826,0.0,1.0,False,1.0,False
PRAMEF14,5,962,0.4,0.13617463617463618,4.229007633587786,0.14189119174482176,False,1.0,False
PRAM1,6,961,0.16666666666666666,0.13735691987513007,1.256060606060606,0.5894569370555072,False,1.0,False
