gene,n_mutated,n_patients,coef,se,hr,hr_lower,hr_upper,p_value,method,q_value,significant_fdr,exon_count,is_known_driver,is_known_passenger,mutation_freq,size_category,nominally_significant
CNGA2,9,967,1.8025785727321384,0.4660233141369078,6.065267049867701,2.4331163323512217,15.119484381850986,0.0001097312849277,Cox_PH,0.3239797602270929,False,27.0,False,False,0.009307135470527405,Medium (20-50),True
CPT1A,6,967,1.9555189139861815,0.513321721655021,7.06758554130122,2.5841802496456685,19.32944321142424,0.0001392263688126,Cox_PH,0.3239797602270929,False,18.0,False,False,0.0062047569803516025,Small (<20),True
NELL2,6,967,1.94931264533045,0.5391499494908663,7.023858039353974,2.4414173317427124,20.207352964837774,0.0002997341276064,Cox_PH,0.3487406574700898,False,18.0,False,False,0.0062047569803516025,Small (<20),True
SOX9,6,967,2.0152260977722065,0.5557961860664804,7.502423470687582,2.52405206662604,22.299998751120533,0.0002880275590464,Cox_PH,0.3487406574700898,False,18.0,False,False,0.0062047569803516025,Small (<20),True
PRR14,7,967,1.8288570727822884,0.5292129244988437,6.226765849848733,2.2069241102771304,17.56862085483022,0.000548650534387,Cox_PH,0.3752791223987348,False,21.0,False,False,0.007238883143743537,Medium (20-50),True
SIN3B,7,967,1.7821400575459516,0.5168402190769241,5.942560241173389,2.1578950402794863,16.36503238609832,0.0005644507642439,Cox_PH,0.3752791223987348,False,21.0,False,False,0.007238883143743537,Medium (20-50),True
KLHL41,7,967,1.8244599191701456,0.5259012434622435,6.199445912898968,2.211549678937438,17.37837046709496,0.0005219984108451,Cox_PH,0.3752791223987348,False,21.0,False,False,0.007238883143743537,Medium (20-50),True
COL23A1,7,967,1.6840176529720796,0.5313207240865196,5.387156275224034,1.9014733513798152,15.26261344268964,0.0015270480292916,Cox_PH,0.516138789422766,False,21.0,False,False,0.007238883143743537,Medium (20-50),True
CDHR3,5,967,1.8688496348824355,0.5945354480576633,6.480836780901578,2.020934759672531,20.783078315448712,0.001670100301324,Cox_PH,0.516138789422766,False,15.0,False,False,0.005170630816959669,Small (<20),True
DISP3,7,967,1.6328016131347494,0.5192729361998004,5.118193849953674,1.8497059086999483,14.162201765422925,0.0016642800847408,Cox_PH,0.516138789422766,False,21.0,False,False,0.007238883143743537,Medium (20-50),True
CPQ,8,967,1.6486917052903556,0.5283376461847915,5.20017201730059,1.846237748149726,14.646970053893105,0.0018052796184944,Cox_PH,0.516138789422766,False,24.0,False,False,0.008273009307135471,Medium (20-50),True
