gene,mutation_freq,hr,tcga_n,tcga_events,tcga_power,n_required_80pct,metabric_n,metabric_power,adequately_powered_tcga,adequately_powered_metabric
RYR2,0.05687693898655636,0.46737665623898483,967,133,0.5285682351020096,1838.8346245256153,2509,0.9053343637518013,False,True
KMT2C,0.08790072388831438,1.55,967,133,0.2984498252189179,3705.9053465255297,2509,0.6350383268926385,False,False
TP53,0.3422957600827301,1.3,967,133,0.3000277952542836,3682.4849774674444,2509,0.6377857053155185,False,False
CDH1,0.13236814891416754,0.7111657241520472,967,133,0.2650580926063828,4276.982399132583,2509,0.5737059491074489,False,False
TTN,0.17269906928645296,1.2365913420273025,967,133,0.15050754111892084,8857.047565523626,2509,0.31958700063227785,False,False
MAP3K1,0.08479834539813857,0.7430790143071058,967,133,0.15722548115782853,8338.793241963098,2509,0.3360687246210179,False,False
HMCN1,0.05997931747673216,0.7042231735338559,967,133,0.1587229483037943,8231.352651709465,2509,0.33972288523723715,False,False
SYNE1,0.05480868665977249,0.6885147702196365,967,133,0.16346702895373266,7908.371186051347,2509,0.3512489534983392,False,False
PTEN,0.05377456049638056,1.2279494690526593,967,133,0.07696704173949409,26597.442405816433,2509,0.1357756786580695,False,False
USH2A,0.052740434332988625,1.231541809144283,967,133,0.07735145737987563,26334.759203634003,2509,0.13671097989835101,False,False
NCOR1,0.050672182006204755,0.8221235429124483,967,133,0.07152286489536328,30923.2261115316,2509,0.122628360912716,False,False
GATA3,0.12926577042399173,1.121553221752129,967,133,0.06474431084307108,38528.00249012446,2509,0.10656035524853569,False,False
MUC16,0.10237849017580145,1.086094762649585,967,133,0.04733802041919763,91041.96660354841,2509,0.06747315648660134,False,False
PIK3CA,0.3391933815925543,0.9684686657121446,967,133,0.03712801298862382,248026.89726878647,2509,0.04665525258122858,False,False
FLG,0.057911065149948295,0.9877995398440864,967,133,0.026996219637879897,6941461.241526322,2509,0.028279684284687485,False,False
